obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
147     price                                                                          78095238     2026-02-05 00:21:35

147     stock                                                                          8            2026-02-05 00:21:35

147     stock_available                                                                20           2026-02-05 00:11:43

147     stock_sold                                                                     0            2026-02-05 00:11:43

148     EAN              5201671001104                                                              2026-02-05 00:11:43

148     cat_id                                                                         261674       2026-02-05 00:11:43

148     item_no                                                                        31           2026-02-05 00:21:35

148     name             Oliwa z oliwek extra virgin Gaea SITIA 500 ml                              2026-02-05 00:11:43

148     name             GAEA Oliwa z oliwek Extra Virgin KRETA Sitia 500ml                         2026-02-05 00:21:35

148     offer_id                                                                       18225960515  2026-02-05 00:11:43

148     price                                                                          78095238     2026-02-05 00:21:35

148     stock                                                                          3            2026-02-05 00:21:35

148     stock_available                                                                20           2026-02-05 00:11:43

148     stock_sold                                                                     0            2026-02-05 00:11:43

149     EAN              5201671800202                                                              2026-02-05 00:11:43

149     cat_id                                                                         261674       2026-02-05 00:11:43

149     item_no                                                                        39           2026-02-05 00:21:35

149     name             GAEA Oliwa z oliwek Ex.Virg.Sparta z Lakonii 500ml                         2026-02-05 00:11:43

149     name             GAEA Oliwa z oliwek Ex.Virg.Sparta z Lakonii 500ml                         2026-02-05 00:21:35

149     offer_id                                                                       18225960072  2026-02-05 00:11:43

149     price                                                                          57047619     2026-02-05 00:21:35

149     stock                                                                          3            2026-02-05 00:21:35

149     stock_available                                                                20           2026-02-05 00:11:43

149     stock_sold                                                                     0            2026-02-05 00:11:43

211     EAN              5901832980216                                                              2026-02-05 00:11:43

211     cat_id                                                                         261004       2026-02-05 00:11:43

211     item_no                                                                        798          2026-02-05 00:21:35

211     name             Fresano Kakao BIO 200g                                                     2026-02-05 00:11:43

211     name             Fresano Kakao BIO 100g                                                     2026-02-05 00:21:35

211     offer_id                                                                       18205511422  2026-02-05 00:11:43

211     price                                                                          12593496     2026-02-05 00:21:35

211     stock                                                                          5            2026-02-05 00:21:35

211     stock_available                                                                35           2026-02-05 00:11:43

211     stock_sold                                                                     10           2026-02-05 00:11:43

212     EAN              5906874369340                                                              2026-02-05 00:11:43

212     cat_id                                                                         311869       2026-02-05 00:11:43

212     item_no                                                                        506          2026-02-05 00:21:35

212     name             Piwo bezalkoholowe Dziki Wschód Wolny Duch                                 2026-02-05 00:11:43

212     name             Browar Dziki Wschód Wolny Duch 500ml                                       2026-02-05 00:21:35

212     offer_id                                                                       18204383130  2026-02-05 00:11:43

212     price                                                                          9341463      2026-02-05 00:21:35

212     stock                                                                          24           2026-02-05 00:21:35

212     stock_available                                                                2            2026-02-05 00:11:43

212     stock_sold                                                                     5            2026-02-05 00:11:43

221     EAN              5902627010859                                                              2026-02-05 00:11:43

221     cat_id                                                                         112633       2026-02-05 00:11:43

221     item_no                                                                        441          2026-02-05 00:21:35

221     name             Napó niebazowany Bolek i Lolek herbatka                                    2026-02-05 00:11:43

221     name             Bolek i Lolek Herbatka 330ml                                               2026-02-05 00:21:35

221     offer_id                                                                       18199658247  2026-02-05 00:11:43

221     price                                                                          4626016      2026-02-05 00:21:35

221     stock                                                                          9            2026-02-05 00:21:35

221     stock_available                                                                161          2026-02-05 00:11:43

221     stock_sold                                                                     3            2026-02-05 00:11:43

224     EAN              5901832982791                                                              2026-02-05 00:11:43

224     cat_id                                                                         74020        2026-02-05 00:11:43

224     item_no                                                                        577          2026-02-05 00:21:35

224     name             Fresano Truskawki w owocowej czekoladzie 100g BIO                          2026-02-05 00:11:43

224     name             Fresano Truskawki w mlecznej czekoladzie 100g BIO                          2026-02-05 00:21:35

224     offer_id                                                                       18199637490  2026-02-05 00:11:43

224     price                                                                          20317073     2026-02-05 00:21:35

224     stock                                                                          7            2026-02-05 00:21:35

224     stock_available                                                                19           2026-02-05 00:11:43

224     stock_sold                                                                     1            2026-02-05 00:11:43

238     EAN              5904730438001                                                              2026-02-05 00:11:43

238     cat_id                                                                         311869       2026-02-05 00:11:43

238     item_no                                                                        707          2026-02-05 00:21:35

238     name             Piwo bezalkoholowe PINTA Mini Maxi Jasne 500 ml                            2026-02-05 00:11:43

238     name             Browar PINTA Mini Maxi IPA bezalkoholwe                                    2026-02-05 00:21:35

238     offer_id                                                                       18199231152  2026-02-05 00:11:43

238     price                                                                          8528455      2026-02-05 00:21:35

238     stock                                                                          42           2026-02-05 00:21:35

238     stock_available                                                                33           2026-02-05 00:11:43

238     stock_sold                                                                     0            2026-02-05 00:11:43

244     EAN              5906874605288                                                              2026-02-05 00:11:43

244     cat_id                                                                         311869       2026-02-05 00:11:43

244     item_no                                                                        456          2026-02-05 00:21:35

244     name             PIWO ZA MIASTEM DZIEŃ DOBRY APA 0% BUT.500 ml                              2026-02-05 00:11:43

244     name             Browar za Miastem Dzień Dobry, bezalkoholowe APA                           2026-02-05 00:21:35

244     offer_id                                                                       18199198031  2026-02-05 00:11:43

244     price                                                                          8121951      2026-02-05 00:21:35

244     stock                                                                          11           2026-02-05 00:21:35

244     stock_available                                                                6            2026-02-05 00:11:43

244     stock_sold                                                                     10           2026-02-05 00:11:43

248     EAN              5901866004018                                                              2026-02-05 00:11:43

248     cat_id                                                                         261420       2026-02-05 00:11:43

248     item_no                                                                        115          2026-02-05 00:21:35

248     name             GLUTENEX Bezglutenowe Ciastka Owsiane z czekoladą                          2026-02-05 00:11:43

248     name             GLUTENEX Bezglutenowe Ciastka Owsiane z czekoladą                          2026-02-05 00:21:35

248     offer_id                                                                       18197762996  2026-02-05 00:11:43

248     price                                                                          12847619     2026-02-05 00:21:35

248     stock                                                                          3            2026-02-05 00:21:35

248     stock_available                                                                17           2026-02-05 00:11:43

248     stock_sold                                                                     3            2026-02-05 00:11:43
