obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------
787     item_no                                                                        2968         2026-02-05 00:26:21

787     name             Zotter - Coffee czekolada kawowa BIO 70g                                   2026-02-05 00:11:43

787     name             Czekolada Kawowa BIO Kawa z Mlekiem                                        2026-02-05 00:26:21

787     offer_id                                                                       17852493630  2026-02-05 00:11:43

787     price                                                                          18284553     2026-02-05 00:26:21

787     stock                                                                          6            2026-02-05 00:26:21

787     stock_available                                                                4            2026-02-05 00:11:43

787     stock_sold                                                                     1            2026-02-05 00:11:43

857     EAN              9006403065685                                                              2026-02-05 00:11:43

857     cat_id                                                                         74020        2026-02-05 00:11:43

857     item_no                                                                        3600         2026-02-05 00:26:21

857     name             ZOTTER, Zestaw 10 Różnych Czekoladek Mlecznych BIO                         2026-02-05 00:11:43

857     name             Zestaw 10 Różnych Czekoladek Mlecznych BIO                                 2026-02-05 00:26:21

857     offer_id                                                                       17700148232  2026-02-05 00:11:43

857     price                                                                          27642276     2026-02-05 00:26:21

857     stock                                                                          4            2026-02-05 00:26:21

857     stock_available                                                                1            2026-02-05 00:11:43

857     stock_sold                                                                     1            2026-02-05 00:11:43

959     EAN              9006403046288                                                              2026-02-05 00:11:43

959     cat_id                                                                         74020        2026-02-05 00:11:43

959     item_no                                                                        2972         2026-02-05 00:26:21

959     name             ZOTTER - Czekolada z Togo 68% Kakao                                        2026-02-05 00:11:43

959     name             Czekolada z Togo 68% Kakao                                                 2026-02-05 00:26:21

959     offer_id                                                                       17517398965  2026-02-05 00:11:43

959     price                                                                          18284553     2026-02-05 00:26:21

959     stock                                                                          8            2026-02-05 00:26:21

959     stock_available                                                                15           2026-02-05 00:11:43

959     stock_sold                                                                     0            2026-02-05 00:11:43

1054    EAN              9006403058274                                                              2026-02-05 00:11:43

1054    cat_id                                                                         74020        2026-02-05 00:11:43

1054    item_no                                                                        2244         2026-02-05 00:26:21

1054    name             ZOTTER, Czekolada Kakao 75% Sao Tome                                       2026-02-05 00:11:43

1054    name             Czekolada z Sao Tome 75% Kakao                                             2026-02-05 00:26:21

1054    offer_id                                                                       17399723469  2026-02-05 00:11:43

1054    price                                                                          18284553     2026-02-05 00:26:21

1054    stock                                                                          4            2026-02-05 00:26:21

1054    stock_available                                                                11           2026-02-05 00:11:43

1054    stock_sold                                                                     0            2026-02-05 00:11:43

1483    EAN              9006403049340                                                              2026-02-05 00:11:43

1483    cat_id                                                                         74020        2026-02-05 00:11:43

1483    item_no                                                                        1974         2026-02-05 00:26:21

1483    name             ZOTTER - Czekolada Kakao Nicaragua 70%                                     2026-02-05 00:11:43

1483    name             Czekolada z Nikaragui 70%                                                  2026-02-05 00:26:21

1483    offer_id                                                                       16255505094  2026-02-05 00:11:43

1483    price                                                                          18284553     2026-02-05 00:26:21

1483    stock                                                                          5            2026-02-05 00:26:21

1483    stock_available                                                                7            2026-02-05 00:11:43

1483    stock_sold                                                                     2            2026-02-05 00:11:43

1484    EAN              9006403029205                                                              2026-02-05 00:11:43

1484    cat_id                                                                         74020        2026-02-05 00:11:43

1484    item_no                                                                        1848         2026-02-05 00:26:21

1484    name             ZOTTER, Belize 72% Sail Shipped Cocoa                                      2026-02-05 00:11:43

1484    name             Czekolada z Belize 72%                                                     2026-02-05 00:26:21

1484    offer_id                                                                       16255362612  2026-02-05 00:11:43

1484    price                                                                          18284553     2026-02-05 00:26:21

1484    stock                                                                          5            2026-02-05 00:26:21

1484    stock_available                                                                12           2026-02-05 00:11:43

1484    stock_sold                                                                     1            2026-02-05 00:11:43

1485    EAN              9006403023845                                                              2026-02-05 00:11:43

1485    cat_id                                                                         74020        2026-02-05 00:11:43

1485    item_no                                                                        2433         2026-02-05 00:26:21

1485    name             ZOTTER, Czekolada Mleczna z Dominikany 40% Kakao                           2026-02-05 00:11:43

1485    name             Czekolada Mleczna z Dominikany 40% Kakao                                   2026-02-05 00:26:21

1485    offer_id                                                                       16255335525  2026-02-05 00:11:43

1485    price                                                                          18284553     2026-02-05 00:26:21

1485    stock                                                                          6            2026-02-05 00:26:21

1485    stock_available                                                                10           2026-02-05 00:11:43

1485    stock_sold                                                                     1            2026-02-05 00:11:43

1486    EAN              9006403023708                                                              2026-02-05 00:11:43

1486    cat_id                                                                         74020        2026-02-05 00:11:43

1486    item_no                                                                        2557         2026-02-05 00:26:21

1486    name             ZOTTER - Czekolada z Ekwadoru - 60% Kakao VEGAN                            2026-02-05 00:11:43

1486    name             Czekolada z Ekwadoru - 60% Kakao VEGAN                                     2026-02-05 00:26:21

1486    offer_id                                                                       16255205422  2026-02-05 00:11:43

1486    price                                                                          18284553     2026-02-05 00:26:21

1486    stock                                                                          7            2026-02-05 00:26:21

1486    stock_available                                                                10           2026-02-05 00:11:43

1486    stock_sold                                                                     5            2026-02-05 00:11:43

1488    EAN              9006403055402                                                              2026-02-05 00:11:43

1488    cat_id                                                                         74020        2026-02-05 00:11:43

1488    item_no                                                                        4426         2026-02-05 00:26:21

1488    name             ZOTTER, Czekolada Kakao 70% Peru Milk                                      2026-02-05 00:11:43

1488    name             Czekolada Mleczna z Peru 70% Kakao                                         2026-02-05 00:26:21

1488    offer_id                                                                       16255029287  2026-02-05 00:11:43

1488    price                                                                          18284553     2026-02-05 00:26:21

1488    stock                                                                          8            2026-02-05 00:26:21

1488    stock_available                                                                5            2026-02-05 00:11:43

1488    stock_sold                                                                     3            2026-02-05 00:11:43
